ID	Name	SubGroup	Glottocode	ISO639P3code	Latitude	Longitude
Jahai	Jahai	ASLIAN	jeha1242	jhi	5.63695	101.54145
JahHut	Jah-Hut	ASLIAN	jahh1242	jah	3.67619	102.2913
Kensiw	Kensiw	ASLIAN	kens1248	kns	6.02922	101.16023
Semai	Semai	ASLIAN	sema1266	sea	4.13257	101.47651
Semelai	Semelai	ASLIAN	seme1247	sza	2.82799	102.8062
SemoqBeri	SemoqBeri	ASLIAN	sema1265	szc	4.12	102.82
Temiar	Temiar	ASLIAN	temi1246	tea	4.974	101.43761
Arak	Arak	BAHNARIC	alak1253	alk	15.5565	106.597
Bahnar	Bahnar	BAHNARIC	bahn1262	bdq		
Chrau	Chrau	BAHNARIC	chra1242	crw	10.80208	107.29291
Didra	Didra	BAHNARIC	todr1244	tdr	14.57	108.11
Hadang	Hadang	BAHNARIC	seda1262	sed		
Halang	Halang	BAHNARIC	hala1252	hal	14.60822	107.57379
Hre	Hre	BAHNARIC	hree1244	hre		
Je	Je	BAHNARIC				
Jeh	Jeh	BAHNARIC	jehh1245	jeh	15.19845	107.89563
Jru	Jru	BAHNARIC	lave1248	lbo	15.27261	106.32196
Kadong	Kadong	BAHNARIC	kayo1245			
KahoChil	KahoChil	BAHNARIC	chil1279			
KorCua	Kor=Cua	BAHNARIC	cuaa1241	cua	15.16883	108.43092
MBunong	M.Bunong	BAHNARIC	maaa1253	cma	11.52	107.34
MDip	M.Dip	BAHNARIC	maaa1253	cma	11.52	107.34
MRolom	M.Rolom	BAHNARIC	east2333	mng	12.39385	108.35351
Ma1	Ma1	BAHNARIC	maaa1253			
Ma2	Ma2	BAHNARIC	maaa1253			
Nhaheun	Nhaheun	BAHNARIC	nyah1249	nev	15.10343	106.54295
Oy	Oy	BAHNARIC	oyyy1238	oyb	15.42	106.66
Panong	Panong	BAHNARIC				
Rengao	Rengao	BAHNARIC	reng1252	ren	14.6066	107.85923
Sedang	Sedang	BAHNARIC	seda1262	sed	14.77933	108.02703
Sre	Sre	BAHNARIC	sree1244	kpm	11.64436	108.05721
Stieng	Stieng	BAHNARIC	bulo1242	sti	11.81581	107.04075
Tariang	Tariang	BAHNARIC	tali1257	tdf	16.53	106.10
Tempuan	Tempuan	BAHNARIC	tamp1251	tpu	13.56447	107.24544
Veh	Veh	BAHNARIC	lave1249	brb		
Bru	Bru	KATUIC	east2332	bru		
BruVK	Bru Van Kieu	KATUIC	east2332	bru		
Dakkang	Dakkang	KATUIC	west2398	kuf		
Kantu	Kantu	KATUIC	west2398	kuf		
Katu	Katu	KATUIC	katu1272			
Kui	Kui	KATUIC	kuyy1240	kdt		
LaoKatu	Lao-Katu	KATUIC	west2398	kuf	15.79	107.17
Mak	Mak	KATUIC				
Neu	Neu	KATUIC	nyeu1238	nyl		
Nge	Nge	KATUIC	ngeq1245	ngt	15.62109	106.8773
Ong	Ong	KATUIC	ongg1239			
Pakoh	Pakoh	KATUIC	paco1243	pac	16.44399	107.12868
So	So	KATUIC	sooo1254	sss		
Taoi	Taoi	KATUIC	lowe1395	tto	15.9083	106.87347
Taoih	Taoih	KATUIC	uppe1406	tth		
Tri	Tri	KATUIC	trii1240			
Khasi	Khasi	KHASI	khas1269	kha	25.56573	92.00194
KSurin	K.Surin	KHMERIC	nort2684	kxm	14.46743	103.86313
Khmer	Khmer	KHMERIC	cent1989	khm	11.4549	104.49337
Bit	Bit	KHMUIC	bitt1240	bgk	21.44574	102.03513
Iduh	Iduh	KHMUIC	oduu1239	tyh		
Khang	Khang	KHMUIC	khan1274	kjm	21.66243	103.73637
Khmu	Khmu	KHMUIC	khmu1256	kjg		
Ksinmul	Ksinmul	KHMUIC	puoc1238	puo	21.02809	104.0259
KxinhMul	KxinhMul	KHMUIC	puoc1238	puo		
Mlabri	Mlabri	KHMUIC	mlab1235	mra	18.46712	101.03731
Phong	Phong	KHMUIC	phon1246	pnx	19.96217	104.08797
Pray	Pray	KHMUIC	phai1238	pry		
Bugan	Bugan	MANGIC	buga1247	bbh	23.61242	104.96286
Mang	Mang	MANGIC	mang1378	zng	22.37722	103.14238
Paliu	Paliu	MANGIC	boly1239	ply		
Mon	Mon	MONIC	monn1252	mnw	15.81271	97.89369
Nyakur	Nyakur	MONIC	nyah1250		15.89091	101.51465
Bonda	Bonda	MUNDA	bond1245	bfw	19.15124	83.81415
Juang	Juang	MUNDA	juan1238	jun	21.26064	85.58452
Kharia	Kharia	MUNDA	khar1287	khr	22.35712	84.39219
Korku	Korku	MUNDA	kork1243	kfq	21.83579	77.55409
Mundari	Mundari	MUNDA	mund1320	unr	22.5517	85.09258
Parengi	Parengi	MUNDA	pare1266	pcj	19.07501	83.97234
Santali	Santali	MUNDA	sant1410	sat	23.9076	87.11775
Sora	Sora	MUNDA	sora1254	srb	19.12127	84.19005
Car	Car	NICOBARIC	carn1240	caq	9.18853	92.76706
Nancawri	Nancawri	NICOBARIC	nanc1247	ncb	7.94812	93.39208
Deang	De'ang	PALAUNGWA	ruch1235			
Gantang	Gantang	PALAUNGWA				
Guanshuang	Guanshuang	PALAUNGWA	samt1238	stu		
Hu	Hu	PALAUNGWA	huuu1240	huo	23.37	101.75
Khamet	Khamet	PALAUNGWA	manm1238	mml		
Khme	Khme	PALAUNGWA				
Mane	Man'e	PALAUNGWA				
Mangan	Mang'an	PALAUNGWA				
Pangpin	Pangpin	PALAUNGWA				
Plang	Plang	PALAUNGWA				
Rumai	Rumai	PALAUNGWA	ruma1248	rbb	23.13363	96.67992
Shuangdiang	Shuangdiang	PALAUNGWA				
Wa	Wa	PALAUNGWA	blan1242	blr		
Yongde	Yongde	PALAUNGWA				
Chong	Chong	PEARIC	chon1284	cog	12.7267	102.232
ChongH	Chong-H	PEARIC	chon1284	cog	12.7267	102.232
Kasong	Kasong	PEARIC	cent2314	cog	12.87518	102.16769
Samre	Samre	PEARIC	somr1240	sxm	13.47899	103.978
Arem	Arem	VIETIC	arem1240	aem		
Cuoi	Cuoi	VIETIC	hung1275	hnu		
KhaPhong	KhaPhong	VIETIC	khap1242			
Liha	Liha	VIETIC	lyha1238			
Malieng	Malieng	VIETIC	mali1278	pkt	17.94469	105.67464
MuongKoi	MuongKoi	VIETIC	muon1246			
PhongV	Phong(V)	VIETIC				
Ruc	Ruc	VIETIC	rucc1239	scb	17.986	105.658
Thavung	Thavung	VIETIC	aheu1239	thm		
ThavungSo	ThavungSo	VIETIC	aheu1239	thm		
Tuum	Tuum	VIETIC				
Vietnamese	Vietnamese	VIETIC	viet1252	vie	17.11945	106.91747
ThoMon	Tho Mon	VIETIC				